CommID,FIPSPL,Name,CAT,CommID,FIPSPL,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
33,1924645,Elgin,AGE3,33,1924645,0.000,0.000,22.375,41.980,29.109,6.535,2.974,33.645,5.947,24.163,12.268,21.003,48.415,30.866,6.977,0.000,10.359,3.382,23.518,33.128,13.292,10.021,13.292,6.749,9.387,9.387,31.033,34.483,6.322,9.387,9.108,15.055,24.163,2.974,33.458,15.242,6.134,27.324,18.216,18.029,15.055,15.242,12.268,36.432,12.082,15.055,15.055,9.108,13.070,32.277,35.246,3.168,6.535,9.703,18.528,28.622,7.187,9.201,8.117,28.346,16.206,28.853,19.368,13.044,16.206,6.323,64.426,29.051,0.000,0.000,6.522,0.000,22.529,54.941,3.162,6.522,9.684,3.162,22.728,22.331,35.574,12.846,6.522,0.000,51.779,32.015,9.684,0.000,6.522,0.000,41.443,32.252,2.883,0.000,14.594,8.829,33.582,42.114,6.123,0.000,15.214,2.968,24.101,38.056,10.147,3.382,24.314,0.000
34,1924780,Elk Horn,AGE3,34,1924780,14.452,25.317,23.523,16.034,10.338,10.338,48.716,41.484,7.707,2.093,0.000,0.000,67.465,22.255,0.000,0.000,7.585,2.695,16.650,42.538,22.132,0.000,15.939,2.741,6.900,13.800,36.443,31.681,0.000,11.176,26.644,33.900,3.061,0.000,28.345,8.050,17.616,17.079,15.253,11.063,25.027,13.963,13.529,22.097,25.141,5.524,22.661,11.048,24.976,43.343,26.433,2.624,2.624,0.000,27.759,27.169,16.574,4.008,4.546,19.943,13.274,45.244,24.115,11.947,0.000,5.420,86.154,11.077,0.000,0.000,2.769,0.000,83.898,7.795,2.769,0.000,5.538,0.000,27.068,37.379,27.390,8.163,0.000,0.000,53.201,46.799,0.000,0.000,0.000,0.000,65.736,22.663,2.900,0.000,5.800,2.900,46.485,40.398,2.309,0.000,5.666,5.142,45.011,37.755,0.000,3.061,14.172,0.000
35,1925095,Elma,AGE3,35,1925095,4.224,13.458,15.028,41.159,17.682,8.448,0.000,7.692,11.866,23.077,7.038,50.327,4.268,21.338,7.197,11.465,23.599,32.134,9.091,23.114,37.137,0.000,17.409,13.250,0.000,11.700,27.754,23.399,3.672,33.474,22.933,25.442,9.470,4.735,24.699,12.721,4.201,28.088,19.687,26.113,10.627,11.285,4.521,16.667,13.563,16.667,24.291,24.291,0.000,28.264,45.030,17.544,4.191,4.970,14.081,30.631,23.969,13.109,9.466,8.744,4.489,21.039,24.120,24.824,16.549,8.978,34.171,54.439,4.006,0.000,7.384,0.000,29.313,38.292,12.060,8.275,12.060,0.000,0.000,46.504,29.919,19.431,4.146,0.000,22.638,62.062,7.338,3.981,3.981,0.000,16.584,41.708,18.131,0.000,20.081,3.496,15.946,51.485,8.651,7.973,15.946,0.000,0.000,44.566,14.492,20.135,20.808,0.000
36,1925725,Epworth,AGE3,36,1925725,3.544,37.403,7.087,3.544,23.228,25.195,15.073,21.691,9.927,3.309,15.073,34.927,60.650,24.549,3.249,0.000,11.552,0.000,29.278,36.123,3.422,0.000,19.011,12.166,3.309,43.382,13.236,3.309,3.309,33.455,39.369,21.262,3.544,0.000,32.282,3.544,11.689,29.437,15.585,3.896,39.392,0.000,10.631,39.369,10.631,0.000,39.369,0.000,29.437,41.126,7.793,17.748,3.896,0.000,21.074,15.261,10.818,9.240,10.991,32.615,53.898,43.051,0.000,0.000,3.051,0.000,61.358,24.744,0.000,0.000,13.898,0.000,80.592,2.961,0.000,0.000,16.447,0.000,41.693,38.307,20.000,0.000,0.000,0.000,47.553,26.924,14.335,0.000,11.188,0.000,53.898,20.000,3.051,0.000,13.898,9.153,46.102,12.204,10.847,13.898,16.949,0.000,26.102,43.051,3.051,0.000,27.796,0.000
37,1925860,Estherville,AGE3,37,1925860,0.000,40.169,35.042,7.267,12.394,5.127,47.159,52.841,0.000,0.000,0.000,0.000,23.143,45.422,5.239,0.000,15.717,10.478,16.667,26.421,26.421,4.877,25.615,0.000,23.579,28.456,21.544,19.508,6.913,0.000,11.790,23.579,4.877,0.000,50.000,9.754,16.667,38.210,11.790,9.754,23.579,0.000,16.667,30.492,9.754,0.000,33.333,9.754,23.579,50.000,26.421,0.000,0.000,0.000,19.238,56.015,11.816,2.475,10.456,0.000,58.952,33.622,7.426,0.000,0.000,0.000,46.287,43.235,10.478,0.000,0.000,0.000,51.526,30.570,5.239,7.426,5.239,0.000,38.861,43.235,7.426,5.239,0.000,5.239,58.952,33.622,0.000,7.426,0.000,0.000,46.287,30.570,17.904,0.000,5.239,0.000,46.287,48.474,5.239,0.000,0.000,0.000,33.622,30.570,25.330,0.000,5.239,5.239
38,1926175,Everly,AGE3,38,1926175,8.000,0.000,48.444,12.889,12.889,17.778,0.000,10.714,5.844,7.143,0.000,76.299,54.310,21.839,5.172,5.172,13.506,0.000,14.134,34.629,16.608,6.360,18.021,10.247,0.000,0.000,3.704,7.407,3.704,85.185,36.029,18.750,10.662,0.000,21.324,13.235,10.662,14.706,42.647,0.000,21.324,10.662,0.000,22.403,18.831,5.844,35.390,17.532,24.242,23.232,24.579,6.061,21.886,0.000,3.424,21.712,18.391,9.156,2.020,45.297,23.256,40.988,27.326,5.233,3.198,0.000,63.388,27.596,3.005,0.000,6.011,0.000,75.000,15.517,3.161,0.000,6.322,0.000,22.535,39.718,29.577,5.070,3.099,0.000,54.085,42.817,0.000,0.000,3.099,0.000,45.915,31.549,8.169,0.000,11.268,3.099,57.849,20.058,5.233,0.000,16.860,0.000,17.465,42.817,0.000,8.169,31.549,0.000
39,1926895,Farmington,AGE3,39,1926895,0.000,3.312,7.947,63.576,12.582,12.582,15.385,37.180,33.975,8.974,4.487,0.000,0.000,41.557,25.326,6.494,22.078,4.545,0.000,27.564,27.564,21.796,19.871,3.205,0.000,12.179,26.282,50.641,4.487,6.411,0.000,20.805,12.751,18.122,33.556,14.766,0.000,40.373,27.330,20.496,4.347,7.453,3.356,8.054,6.712,36.912,33.556,11.410,8.163,16.326,41.498,16.326,14.284,3.402,3.520,13.665,17.391,33.540,5.383,26.501,9.741,29.220,25.326,24.674,3.247,7.792,39.131,32.919,27.949,0.000,0.000,0.000,49.359,26.282,16.666,4.487,3.205,0.000,0.000,18.590,38.462,33.975,4.487,4.487,16.148,32.919,32.919,11.801,6.212,0.000,39.131,31.055,10.559,3.106,4.347,11.801,22.983,47.826,16.148,4.347,8.695,0.000,10.898,30.769,29.488,7.692,21.153,0.000
40,1928290,Fontanelle,AGE3,40,1928290,14.771,10.588,18.301,26.797,23.922,5.621,13.463,53.203,22.801,5.863,4.669,0.000,44.752,27.336,9.919,3.114,14.879,0.000,5.119,16.071,50.000,5.119,13.452,10.238,4.960,8.074,51.557,17.416,9.919,8.074,8.495,18.325,37.257,0.000,27.427,8.495,0.000,33.981,36.650,0.000,8.495,20.874,0.000,33.124,10.163,8.783,37.139,10.791,11.169,23.116,53.117,7.013,5.585,0.000,0.000,9.782,16.312,18.693,8.647,46.566,24.120,47.705,20.704,2.881,4.589,0.000,68.940,31.060,0.000,0.000,0.000,0.000,70.439,24.835,0.000,0.000,4.725,0.000,11.188,33.564,44.060,11.188,0.000,0.000,56.517,43.483,0.000,0.000,0.000,0.000,45.295,37.139,0.000,0.000,8.783,8.783,20.267,67.961,3.277,0.000,0.000,8.495,23.095,55.119,6.428,5.119,5.119,5.119
41,1929280,Fruitland,AGE3,41,1929280,0.000,9.855,0.000,17.609,35.217,37.319,0.000,9.855,0.000,4.928,0.000,85.217,45.975,28.216,0.000,0.000,0.000,25.809,37.043,23.704,23.704,5.183,5.183,5.183,0.000,4.928,0.000,4.928,0.000,90.145,0.000,22.536,4.928,9.855,40.145,22.536,18.521,52.591,10.366,0.000,5.183,13.338,4.928,19.710,4.928,9.855,30.290,30.290,4.928,47.899,14.783,17.609,9.855,4.928,5.870,6.570,7.512,9.155,11.739,59.155,34.689,37.095,22.573,0.000,0.000,5.643,71.784,22.573,0.000,0.000,0.000,5.643,71.784,16.929,0.000,0.000,5.643,5.643,20.166,68.548,5.643,0.000,0.000,5.643,77.427,22.573,0.000,0.000,0.000,0.000,83.071,11.286,0.000,0.000,0.000,5.643,25.809,31.452,5.643,0.000,5.643,31.452,25.809,42.739,0.000,5.643,20.166,5.643
42,1929910,Garnavillo,AGE3,42,1929910,0.000,19.040,19.040,15.004,42.879,4.037,26.733,50.952,7.312,3.656,7.692,3.656,39.223,49.810,7.312,0.000,3.656,0.000,11.729,34.044,15.004,0.000,35.187,4.037,7.394,19.034,36.603,18.302,3.514,15.154,26.428,33.089,3.514,0.000,33.455,3.514,19.727,34.294,22.989,4.021,18.968,0.000,7.394,15.154,14.422,7.028,40.849,15.154,25.825,37.294,15.842,8.333,12.706,0.000,14.166,22.878,14.067,7.170,11.229,30.491,52.489,29.575,10.908,0.000,7.028,0.000,70.791,14.422,7.394,0.000,7.394,0.000,70.791,17.936,3.880,0.000,7.394,0.000,26.428,40.849,25.329,0.000,7.394,0.000,69.727,26.252,0.000,0.000,4.021,0.000,52.489,25.695,3.514,0.000,18.302,0.000,51.757,29.575,7.760,0.000,10.908,0.000,34.806,34.044,7.692,3.656,15.765,4.037
43,1930225,George,AGE3,43,1930225,7.119,38.643,21.695,3.729,28.814,0.000,25.000,46.283,17.906,0.000,7.094,3.717,48.318,29.052,9.480,0.000,10.093,3.058,14.685,37.063,25.874,11.189,11.189,0.000,13.565,29.652,39.747,6.941,3.470,6.625,9.905,34.433,10.378,5.189,34.905,5.189,7.245,22.826,22.463,27.537,7.972,11.957,7.575,35.605,15.909,4.167,28.410,8.334,10.811,53.378,32.094,0.000,3.717,0.000,10.031,49.178,17.929,5.106,8.133,9.623,36.909,49.526,6.625,6.941,0.000,0.000,66.475,30.373,3.152,0.000,0.000,0.000,79.084,17.764,3.152,0.000,0.000,0.000,14.612,42.694,33.525,9.169,0.000,0.000,43.658,53.097,3.245,0.000,0.000,0.000,48.998,45.272,0.000,0.000,2.865,2.865,32.951,48.711,12.321,2.865,3.152,0.000,24.068,51.576,12.321,0.000,6.304,5.730
44,1930675,Gilbertville,AGE3,44,1930675,0.000,4.180,14.984,7.781,31.125,41.929,7.181,0.000,0.000,0.000,10.504,82.315,0.000,0.000,0.000,0.000,11.893,88.107,32.597,44.567,7.428,0.000,15.408,0.000,0.000,3.323,3.858,7.715,6.647,78.457,18.431,44.707,0.000,0.000,36.862,0.000,3.581,15.473,4.156,7.737,26.790,42.263,8.072,43.496,4.336,0.000,31.688,12.408,26.367,34.727,23.344,0.000,15.563,0.000,1.393,16.578,6.473,2.394,7.474,65.688,50.000,42.263,4.156,0.000,3.581,0.000,53.005,43.414,0.000,0.000,3.581,0.000,45.844,46.419,4.156,0.000,3.581,0.000,30.946,54.156,14.898,0.000,0.000,0.000,47.231,44.696,0.000,0.000,8.072,0.000,64.898,35.102,0.000,0.000,0.000,0.000,61.893,34.527,3.581,0.000,0.000,0.000,37.346,40.802,7.469,0.000,3.457,10.926
45,1931395,Glidden,AGE3,45,1931395,0.000,33.333,26.730,6.603,33.333,0.000,0.000,6.194,6.194,12.388,6.194,69.030,63.026,15.882,0.000,0.000,21.092,0.000,18.881,25.075,18.582,0.000,18.582,18.881,13.525,26.730,26.730,19.809,0.000,13.206,26.730,26.730,6.603,0.000,39.936,0.000,0.000,18.582,25.075,0.000,37.463,18.881,6.194,69.030,6.194,0.000,18.582,0.000,6.603,60.383,19.809,0.000,13.206,0.000,8.397,39.629,19.322,4.145,8.274,20.232,5.497,44.238,33.510,0.000,16.755,0.000,42.185,52.605,0.000,0.000,5.210,0.000,58.067,31.513,5.210,0.000,5.210,0.000,10.672,63.026,10.420,0.000,15.882,0.000,44.503,38.741,0.000,0.000,16.755,0.000,42.185,15.631,0.000,0.000,21.092,21.092,15.631,63.277,0.000,0.000,21.092,0.000,15.882,26.303,10.420,0.000,36.723,10.672
46,1931710,Gowrie,AGE3,46,1931710,0.000,4.768,21.424,20.248,39.255,14.304,40.496,53.560,5.944,0.000,0.000,0.000,45.192,35.457,8.614,0.000,10.737,0.000,5.610,40.444,34.834,0.000,14.612,4.501,5.673,20.449,43.204,30.673,0.000,0.000,5.069,54.444,6.319,0.000,22.778,11.389,15.480,47.616,16.656,0.000,20.248,0.000,0.000,20.248,27.368,10.712,36.904,4.768,13.982,62.360,23.658,0.000,0.000,0.000,8.797,29.404,30.641,15.048,10.041,6.068,26.903,33.333,23.658,0.000,16.106,0.000,77.319,17.534,5.147,0.000,0.000,0.000,71.154,23.699,0.000,0.000,5.147,0.000,8.614,43.009,44.071,4.307,0.000,0.000,36.578,58.053,5.369,0.000,0.000,0.000,48.473,37.104,9.276,0.000,0.000,5.147,61.298,33.333,5.369,0.000,0.000,0.000,34.050,52.545,0.000,0.000,13.405,0.000
47,1931800,Graettinger,AGE3,47,1931800,19.079,43.751,21.381,0.000,7.894,7.894,28.661,56.386,7.476,7.476,0.000,0.000,40.674,46.113,8.809,0.000,4.404,0.000,12.130,56.509,10.060,0.000,14.201,7.100,5.414,29.300,26.114,18.471,0.000,20.700,37.857,35.357,6.072,0.000,12.143,8.571,9.375,58.594,16.015,0.000,6.641,9.375,32.600,49.818,0.000,0.000,0.000,17.582,22.656,58.594,9.375,0.000,0.000,9.375,17.921,51.102,6.741,0.000,5.186,19.050,23.835,42.487,29.274,4.404,0.000,0.000,71.707,28.293,0.000,0.000,0.000,0.000,61.831,38.169,0.000,0.000,0.000,0.000,22.440,57.560,15.853,4.147,0.000,0.000,46.370,53.630,0.000,0.000,0.000,0.000,68.702,25.191,0.000,0.000,0.000,6.107,58.270,37.404,0.000,0.000,4.326,0.000,32.787,51.991,3.981,0.000,11.241,0.000
48,1932025,Grand Mound,AGE3,48,1932025,0.000,10.942,4.662,17.127,34.443,32.826,3.000,11.909,3.000,4.455,3.000,74.636,11.675,13.299,8.325,0.000,3.350,63.350,0.000,46.758,25.835,4.813,19.352,3.242,0.000,4.455,0.000,13.364,3.000,79.182,3.140,7.802,6.280,3.140,49.952,29.686,7.455,10.455,22.364,0.000,29.818,29.909,4.813,3.242,16.110,4.813,38.703,32.318,8.055,35.462,24.165,6.483,11.297,14.538,3.108,12.648,18.973,4.155,7.617,53.499,22.004,50.826,20.351,0.000,6.818,0.000,72.352,24.555,0.000,0.000,3.093,0.000,61.297,32.220,3.242,0.000,3.242,0.000,12.669,44.391,25.435,11.122,6.383,0.000,28.325,58.274,6.701,0.000,6.701,0.000,45.076,14.924,0.000,0.000,40.000,0.000,20.000,38.274,18.376,3.350,20.000,0.000,19.013,36.239,8.613,3.466,24.055,8.613
49,1933780,Hamburg,AGE3,49,1933780,3.880,25.860,21.120,15.521,25.860,7.760,41.915,33.192,12.033,3.735,4.563,4.563,3.572,38.888,26.588,0.000,27.380,3.572,12.003,26.665,30.666,8.888,17.777,4.001,3.449,3.449,26.435,43.680,8.426,14.560,12.110,31.834,8.074,4.037,30.940,13.005,7.760,7.760,29.740,3.880,29.740,21.120,0.000,18.830,16.147,12.110,34.977,17.936,3.449,21.458,41.759,13.796,16.088,3.449,7.452,17.656,15.163,23.473,23.218,13.037,11.114,52.263,19.343,0.000,13.576,3.705,58.851,27.573,4.525,0.000,9.050,0.000,62.556,20.164,4.525,0.000,12.755,0.000,3.572,30.161,46.823,3.572,8.727,7.144,19.235,55.125,16.241,0.000,9.399,0.000,61.967,28.634,0.000,0.000,9.399,0.000,17.861,23.016,31.743,15.080,8.727,3.572,18.652,38.888,10.717,0.000,28.171,3.572
50,1934680,Hartford,AGE3,50,1934680,0.000,0.000,0.000,50.000,40.860,9.140,0.000,0.000,0.000,13.710,0.000,86.290,46.997,44.125,4.439,0.000,0.000,4.439,20.563,14.366,47.606,4.789,7.887,4.789,0.000,14.868,0.000,25.659,0.000,59.472,21.598,21.598,5.030,10.059,36.686,5.030,12.295,21.585,24.590,4.645,15.301,21.585,19.060,16.188,16.188,8.877,27.937,11.749,18.250,11.250,36.500,21.250,4.250,8.500,1.596,6.854,15.009,14.205,3.192,59.142,12.676,22.254,34.930,20.563,4.789,4.789,33.750,41.000,25.250,0.000,0.000,0.000,40.528,35.252,17.506,6.715,0.000,0.000,0.000,36.815,46.997,16.188,0.000,0.000,22.500,38.000,24.000,8.500,7.000,0.000,47.242,33.813,8.153,0.000,6.715,4.077,44.604,37.890,6.715,6.715,4.077,0.000,35.250,19.750,33.750,7.000,4.250,0.000
51,1934725,Hartley,AGE3,51,1934725,0.000,24.818,35.036,10.219,24.818,5.109,26.761,42.254,23.380,0.000,7.606,0.000,37.847,33.333,4.861,0.000,19.097,4.861,0.000,64.964,14.964,0.000,20.073,0.000,8.571,39.365,8.571,26.349,17.143,0.000,8.970,49.834,18.272,0.000,18.272,4.651,0.000,26.032,21.587,13.016,30.476,8.889,8.970,22.924,13.621,17.940,27.243,9.302,8.571,34.603,34.921,8.571,13.333,0.000,8.653,18.132,34.015,15.780,16.091,7.329,61.408,30.704,7.887,0.000,0.000,0.000,82.828,13.636,0.000,0.000,3.535,0.000,81.301,7.588,0.000,0.000,11.111,0.000,15.789,47.953,32.164,4.094,0.000,0.000,33.232,50.000,0.000,0.000,12.500,4.268,65.352,26.761,0.000,0.000,3.944,3.944,69.296,22.817,0.000,0.000,3.944,3.944,41.463,41.768,12.500,0.000,4.268,0.000
52,1936345,Hills,AGE3,52,1936345,6.230,18.691,12.460,6.230,28.194,28.194,4.429,15.616,0.000,4.429,0.000,75.526,56.450,33.333,0.000,0.000,5.108,5.108,20.045,51.051,20.045,0.000,8.859,0.000,4.429,8.859,15.616,8.859,0.000,62.237,0.000,0.000,6.644,6.644,43.356,43.356,0.000,10.498,34.253,0.000,5.249,50.000,0.000,26.246,0.000,0.000,20.996,52.758,17.133,41.433,31.713,0.000,4.860,4.860,0.000,13.103,9.133,4.498,5.446,67.821,13.288,64.565,13.288,0.000,0.000,8.859,71.096,28.904,0.000,0.000,0.000,0.000,82.282,13.288,4.429,0.000,0.000,0.000,17.718,73.423,8.859,0.000,0.000,0.000,26.577,68.994,0.000,0.000,4.429,0.000,86.712,13.288,0.000,0.000,0.000,0.000,13.288,48.949,4.429,4.429,4.429,24.474,8.859,68.994,8.859,0.000,4.429,8.859
53,1937155,Hopkinton,AGE3,53,1937155,0.000,19.521,11.418,33.333,19.521,16.207,25.554,51.108,5.281,5.281,5.281,7.496,34.304,48.544,0.000,5.016,12.136,0.000,7.496,40.546,28.619,5.281,10.562,7.496,0.000,5.281,20.273,18.058,12.777,43.612,5.281,20.273,30.835,5.281,33.050,5.281,12.500,27.167,27.167,5.166,12.500,15.499,5.575,21.403,11.150,5.575,42.807,13.489,6.973,42.631,38.510,4.913,6.973,0.000,7.148,27.551,23.382,6.796,13.256,21.867,7.496,61.669,20.273,10.562,0.000,0.000,65.332,29.268,5.400,0.000,0.000,0.000,55.664,29.288,15.048,0.000,0.000,0.000,26.133,60.801,7.666,5.400,0.000,0.000,24.272,60.680,5.016,5.016,5.016,0.000,41.424,29.288,5.016,5.016,12.136,7.120,46.440,22.168,7.120,10.032,0.000,14.240,18.467,57.666,0.000,10.801,13.066,0.000
54,1937290,Hospers,AGE3,54,1937290,22.635,48.332,15.582,0.000,13.450,0.000,37.205,48.241,2.699,4.578,7.277,0.000,52.682,29.321,0.000,0.000,17.998,0.000,11.318,55.659,24.768,3.062,5.194,0.000,3.128,16.872,17.821,23.128,5.307,33.743,0.000,32.584,6.459,11.938,43.541,5.479,8.485,40.101,24.849,10.455,7.626,8.485,10.981,43.024,2.971,10.981,29.072,2.971,13.743,66.257,11.564,8.436,0.000,0.000,7.134,44.802,19.267,4.602,10.468,13.727,19.165,55.675,19.165,0.000,0.000,5.996,87.816,12.184,0.000,0.000,0.000,0.000,87.816,12.184,0.000,0.000,0.000,0.000,39.240,50.589,10.171,0.000,0.000,0.000,43.415,51.499,0.000,0.000,5.086,0.000,66.047,17.441,0.000,0.000,13.450,3.062,55.217,39.425,5.358,0.000,0.000,0.000,16.794,63.921,0.000,0.000,19.285,0.000
55,1937560,Humboldt,AGE3,55,1937560,14.761,41.667,16.667,3.413,23.493,0.000,26.507,50.000,8.333,11.746,0.000,3.413,70.171,12.161,10.601,0.000,7.067,0.000,24.602,46.985,16.667,0.000,11.746,0.000,9.841,38.254,36.746,15.159,0.000,0.000,14.459,19.826,21.905,5.368,29.352,9.091,19.826,25.628,14.459,3.723,36.364,0.000,27.879,41.819,12.354,3.590,14.358,0.000,17.322,53.782,25.644,3.253,0.000,0.000,31.441,39.815,17.164,8.027,3.552,0.000,67.850,17.701,7.943,3.253,3.253,0.000,73.102,13.449,3.362,3.362,6.725,0.000,64.597,16.265,0.000,3.253,15.885,0.000,9.695,50.743,32.838,3.362,3.362,0.000,53.402,40.092,3.253,3.253,0.000,0.000,63.161,23.828,0.000,3.253,3.253,6.506,66.034,17.701,3.253,3.253,3.253,6.506,38.591,49.435,3.479,3.479,5.016,0.000
56,1939450,Jefferson,AGE3,56,1939450,2.600,22.324,20.949,11.926,34.251,7.951,30.847,46.915,18.508,0.000,3.730,0.000,37.159,44.333,2.439,0.000,8.608,7.460,13.970,36.764,31.472,0.000,13.970,3.823,6.169,32.138,53.085,8.608,0.000,0.000,13.501,27.002,4.081,0.000,44.584,10.832,15.902,44.801,16.973,0.000,19.725,2.600,13.694,42.516,9.554,0.000,27.389,6.847,23.100,49.926,23.100,0.000,3.875,0.000,19.246,49.719,15.009,0.941,7.104,7.981,50.000,39.450,6.575,0.000,3.975,0.000,54.376,43.185,2.439,0.000,0.000,0.000,50.645,41.894,0.000,0.000,7.460,0.000,14.778,58.106,27.116,0.000,0.000,0.000,30.849,53.801,11.476,0.000,3.875,0.000,59.254,40.746,0.000,0.000,0.000,0.000,48.206,32.138,13.487,6.169,0.000,0.000,27.547,51.912,2.707,0.000,13.694,4.140
57,1940260,Kanawha,AGE3,57,1940260,5.419,30.464,8.971,19.627,24.864,10.656,16.075,28.597,12.523,10.656,3.552,28.597,24.186,39.709,0.000,0.000,29.244,6.860,5.512,49.051,12.737,3.613,19.963,9.124,5.419,10.656,0.000,39.253,3.552,41.120,0.000,11.023,5.512,7.226,54.378,21.862,9.945,26.243,21.271,9.779,22.984,9.779,15.698,6.860,17.326,10.291,29.244,20.581,23.611,17.659,19.510,23.611,7.804,7.804,4.174,16.697,9.331,9.200,11.769,48.829,9.180,27.697,30.757,7.728,16.909,7.728,67.635,32.365,0.000,0.000,0.000,0.000,70.695,24.637,4.668,0.000,0.000,0.000,18.361,49.430,15.301,13.849,3.060,0.000,27.697,67.635,0.000,4.668,0.000,0.000,52.768,31.536,0.000,0.000,12.855,2.841,42.998,46.214,0.000,4.668,6.120,0.000,22.097,49.171,9.631,7.972,7.972,3.157
58,1942600,Lake Park,AGE3,58,1942600,0.000,22.635,25.717,0.000,32.306,19.341,5.749,19.981,14.232,8.577,25.825,25.636,70.132,19.967,0.000,0.000,9.901,0.000,5.820,35.209,17.653,5.917,29.486,5.917,0.000,15.712,55.295,15.799,0.000,13.194,9.091,24.176,6.094,0.000,45.554,15.085,0.000,52.517,13.194,0.000,34.288,0.000,5.655,19.981,14.326,0.000,45.712,14.326,2.475,62.459,12.541,2.475,20.050,0.000,26.606,40.653,19.113,1.869,6.866,4.892,27.558,54.868,5.033,0.000,12.541,0.000,60.066,39.934,0.000,0.000,0.000,0.000,42.409,55.116,0.000,0.000,2.475,0.000,9.983,77.558,7.508,2.475,2.475,0.000,37.541,57.508,2.475,0.000,2.475,0.000,55.033,34.983,0.000,2.475,2.475,5.033,47.525,39.934,7.508,0.000,5.033,0.000,18.020,61.591,2.538,0.000,15.313,2.538
59,1942960,Lamoni,AGE3,59,1942960,4.839,7.056,47.581,21.573,18.952,0.000,29.977,43.021,16.018,10.984,0.000,0.000,41.215,45.987,5.206,0.000,7.592,0.000,11.895,26.411,42.742,7.056,11.895,0.000,4.839,11.895,45.363,37.903,0.000,0.000,10.169,32.415,12.500,0.000,32.415,12.500,5.357,20.982,31.696,23.438,10.714,7.813,27.754,39.831,7.415,5.085,12.500,7.415,9.897,43.711,41.443,4.948,0.000,0.000,13.851,32.924,28.667,13.216,8.871,2.472,51.340,41.443,7.216,0.000,0.000,0.000,51.340,31.546,17.113,0.000,0.000,0.000,56.289,38.763,4.948,0.000,0.000,0.000,5.206,36.009,45.987,12.798,0.000,0.000,18.004,58.785,10.412,12.798,0.000,0.000,41.215,51.193,0.000,0.000,0.000,7.592,38.395,56.399,5.206,0.000,0.000,0.000,28.416,61.171,0.000,10.412,0.000,0.000
60,1944085,Le Claire,AGE3,60,1944085,0.000,3.811,15.243,3.811,77.136,0.000,21.742,25.000,3.258,3.258,43.483,3.258,71.758,7.435,0.000,0.000,17.464,3.343,23.539,31.517,3.258,0.000,41.686,0.000,19.251,52.838,6.787,3.394,17.729,0.000,3.513,7.813,0.000,3.513,73.834,11.326,7.026,11.326,0.000,3.513,70.321,7.813,0.000,7.994,7.994,4.893,71.124,7.994,32.247,40.225,16.292,0.000,11.236,0.000,19.294,26.185,15.422,3.639,21.748,13.712,46.030,20.762,12.446,0.000,16.953,3.809,65.477,18.349,3.235,0.000,12.939,0.000,63.299,18.351,0.000,3.368,14.983,0.000,6.736,22.474,40.825,18.351,3.368,8.246,6.736,44.948,11.615,6.736,21.719,8.246,42.443,31.288,3.960,0.000,11.155,11.155,39.314,19.106,6.736,0.000,23.229,11.615,25.087,37.457,10.859,3.368,19.106,4.123
